slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,9864000,12685.104131698608,1.0,1.0
nEvTau3Mu,1045503,1344.516871958971,0.10599178832116789,0.10599178832116789
nTriggerBit,745907,959.2364119589329,0.0756191200324412,0.0756191200324412
nEvTauMediumID,495185,636.807916611433,0.05020123682076237,0.05020123682076237
nEvTriggerFired_Total,489380,629.3426865339279,0.049612733171127334,0.049612733171127334
nEvDiMuResVeto,470748,605.3819342851639,0.04772384428223844,0.04772384428223844
nEvReinforcedHLT,464278,597.0615141987801,0.04706792376317924,0.04706792376317924
LxyS,50683,65.17833867669106,0.005138179237631792,0.005138179237631792
mass_range,14602,18.778172194957733,0.0014803325223033252,0.0014803325223033252
phi_veto,12933,16.63183817267418,0.001311131386861314,0.001311131386861314
BDT,3545,4.558870047330856,0.0003593876723438767,0.0003593876723438767
